日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
1900-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,0.11,,,0.11,,0.72,,,,0.0,0.3076,10.4011,0.3076,8.3535,10.4011,84.008,6.6325,,40.5444,0.746,15.992,27.6624,167.6773,106.1836,1.2446,32.3203,755537000.0,16.72,17.65,0.0,,,,,,,,,0.0464,0.0464,7758.6207,6.275,57.3705,2.5209,0.7819,0.7819,3.8012,,,1.84,,106.0477,5334.8839,,,79.8306,1417.4715,5138.1898,,1.735,98.16,156606396000.0,1.0315,0.0478,15.5528,0.0487,5.0609,,,,756407000.0,15315443000.0,,,,,,,,,,,,,
2000-12-31,0.19,,,0.16,,0.88,,,,0.0,0.3662,13.6898,0.4274,11.7519,13.6898,81.0118,9.199,,48.7726,0.8188,18.9882,30.2712,125.0275,99.9214,0.0447,38.1446,1196218000.0,21.81,28.28,0.0,20.2923,66.8404,27.8956,40.1654,,,,,3.1478,0.0465,7741.9355,0.0631,5705.2298,2.6613,0.7813,0.7813,2.6109,,,1.6789,,130.0102,5856.2867,,,74.0452,1577.7848,5604.0451,,1.2914,98.3211,219507988000.0,0.8575,0.0341,9.3219,0.0347,3.6281,,,,880754000.0,31381142000.0,,,,,,,,,,,,,
2001-06-30,0.15,,0.15,,,1.03,,,,0.9,0.266,43.1345,0.2796,28.1418,25.0479,51.2865,15.4216,,14.9305,0.266,48.7135,31.9595,76.9673,172.5589,,,1809135000.0,14.93,16.14,648944000.0,,,,,,,,,,0.0181,9944.7514,,,1.0463,,,,,,1.7814,,,5513.4612,,,,5613.4612,0.0,,,98.2186,243182099000.0,3.4293,0.0591,22.237,0.0602,,,,,,,,,,,,,,,,,,,
2001-12-31,0.34,,0.34,0.33,,1.22,,,,,0.5374,19.8715,0.5892,18.5851,19.8715,75.3525,13.6394,,54.2405,1.0421,50.9653,28.0805,87.6833,98.8107,0.0015,38.4257,2085025000.0,27.97,32.52,,20.0785,78.0416,38.833,21.3246,9.9642,36.1293,,,2.7285,0.0432,8333.3333,0.0603,5970.1493,2.3842,0.7451,0.7451,3.203,,,1.9212,,105.3529,5105.1302,,,78.3235,1552.1988,4902.7932,,1.8236,98.0788,266317155000.0,1.7471,0.0688,12.8094,0.0702,7.3079,,,,53060000.0,50595456000.0,,,,,,,,,,,,,
2002-03-31,0.0801,,,,3.6901,3.6901,,,0.0801,,0.106,56.2232,0.1154,30.9722,25.6085,38.1699,16.1988,43.5107,11.7912,0.5761,61.8301,39.5696,92.5307,217.7994,2.0819,11.059,1169439000.0,2.17,,,,,,,,,,,0.4293,0.0071,12676.0563,0.01,9000.0,0.2016,0.7836,0.7836,1.8629,,,4.8858,,321.2046,1946.7402,,,76.3928,577.5505,1874.8849,,1.5211,95.1142,317726623000.0,,,,,,,,,53060000.0,55944263000.0,,,,,,,,,,,,,
2002-06-30,0.1603,,0.16,0.18,2.8214,2.82,1.2335,1.6243,0.1603,2.72,0.2921,55.582,0.3157,37.5036,30.1621,38.8989,20.3561,43.8442,15.54,0.799,60.4677,36.864,79.6389,182.3339,0.767,18.7249,2497121000.0,5.68,8.72,900088000.0,7.1172,41.3916,271.6686,28.7665,,,,,0.9288,0.0155,11612.9032,0.0218,8256.8807,0.4235,0.7917,0.7917,2.9172,,,5.1419,,334.1888,1844.8128,,,75.2156,544.7037,1768.5724,,1.5386,94.8581,313137098000.0,1.5668,0.0225,7.6971,0.0237,2.472,,,,53060000.0,53302442000.0,,,,,,,,,,,273351000.0,24741000.0,
2002-09-30,0.234,,,,2.8952,2.8951,,1.6243,0.234,2.78,0.3995,55.8688,0.4447,36.1257,29.3384,38.5076,20.0352,53.2573,18.3954,0.9091,61.4924,38.6446,87.5545,186.8315,0.0072,31.892,3724050000.0,8.08,,1297833000.0,,,,,,,,,1.3752,0.0222,12162.1622,0.032,8437.5,0.6161,0.7508,0.7508,2.6375,,,4.942,,341.5439,1923.483,,,73.953,633.3288,1851.4641,,1.447,95.058,334321889000.0,,,,,,,,,53060000.0,57635180000.0,,,,,,,,,,,,,
2002-12-31,0.3039,,0.3,0.32,2.8092,2.81,5.9571,1.6243,0.0945,2.7,0.4666,54.6993,0.5437,31.4797,26.6308,39.6704,18.1232,61.3486,21.8381,0.942,60.3296,40.0226,87.489,203.6499,0.4004,26.0986,5234352000.0,10.82,13.07,,-8.7986,21.1827,213.3396,39.5554,,,,,2.0317,0.03,12000.0,0.0425,8470.5882,0.905,0.7708,0.7708,4.2739,,,4.3136,,351.3179,2218.2639,,,72.0893,672.4795,2135.2555,,1.2278,95.6864,371659912000.0,3.5526,0.0915,19.6026,0.0956,9.9311,,,,91076000.0,60240488000.0,,,,,,,,,,,116142000.0,24635000.0,
2003-03-31,0.0974,,,,2.9066,2.91,-1.8504,1.6243,0.1919,2.8,0.1428,57.0962,0.1461,36.8834,28.8407,38.2523,19.7312,43.026,14.8026,0.631,61.7477,36.9411,78.1662,193.8783,1.2493,,1608509000.0,3.35,,,35.4422,64.9774,6.855,22.477,,,,,0.6231,0.0074,12162.1622,0.0108,8333.3333,0.1727,0.724,0.724,0.7858,,,4.2626,,370.3072,2245.9693,,,70.2218,786.9835,2153.1875,,1.1511,95.7374,389142028000.0,-3.7483,-0.0271,-18.997,-0.0283,-2.9566,,,,76000372000.0,,,,,,,,,,,,,,
2003-06-30,0.1942,0.0,0.19,0.0,3.0035,3.0,-0.9858,1.6244,0.2886,2.9,0.2542,57.5441,0.2744,34.1941,26.3051,37.1386,18.4303,54.8975,18.2781,0.7188,62.8614,35.3893,82.6454,216.1812,0.6209,11.6073,3459543000.0,6.46,6.68,1089189000.0,33.8175,21.158,6.453,39.1832,,,,,1.3311,0.0149,12080.5369,0.0211,8530.8057,0.3625,0.7607,0.7607,3.3826,,,3.9327,,383.4938,2442.7683,,,68.821,763.5091,2338.9277,,1.0255,96.0673,435834298000.0,-0.9357,-0.0129,-5.0771,-0.0134,-1.4033,,,,91076000.0,68174508000.0,,,,,,,,,,,116636.0,124178.0,
2003-09-30,0.2957,,,0.0,3.1049,3.1,-1.901,1.6243,0.3901,3.01,0.3811,56.6186,0.4144,32.8262,26.2577,38.5181,17.9538,66.6901,21.4789,0.8597,61.4819,36.5172,82.2417,215.8737,0.0118,,5321245000.0,9.52,0.0,0.0,40.9964,26.3483,7.2454,32.4229,,,,,2.0839,0.0231,11688.3117,0.0343,7871.7201,0.5569,0.7014,0.7014,0.8542,,,4.0024,,397.5788,2398.5268,,,67.7806,894.5973,2286.6659,,1.0067,95.9976,442718653000.0,-1.1543,-0.0245,-6.4293,-0.0255,-2.6775,,,,82514644000.0,,,,,,,,,,,,,,
2003-12-31,0.3907,0.0,0.39,0.39,3.1999,3.2,4.8117,1.6242,0.4071,3.1,0.4425,56.9812,0.5094,32.3167,25.3507,38.2765,16.4132,78.1208,24.4133,0.8848,61.7235,35.4514,77.2474,224.6984,0.0039,27.4722,7741498000.0,12.21,12.79,2228791000.0,41.9751,28.5792,13.9074,35.579,,,,,3.0026,0.031,11612.9032,0.044,8181.8182,0.7923,0.7612,0.7612,2.2843,,0.0,3.6241,0.0,407.0456,2659.3271,823.4913,0.0,66.8143,823.4913,2543.1119,108.502,0.8903,96.3759,503892810000.0,2.0212,0.0545,12.3143,0.0565,5.9128,,,,99761000.0,71613365000.0,0.0,,,,,,,,,,102851.0,101649.0,
